454 Software Release, 2.0.01.12

dateOfFile, 2009/07/30 14:26:52
runName,R_2009_07_30_14_26_52_FLX12080469_Administrator_714003
analysisName,D_2009_07_31_08_45_30_flxcluster_fullProcessing_714003
PTPType,unknown
PTPBarCode,714003
analysisType,<analysisType goes here>
numberOfRegions,2
numberOfCycles,-1
flowOrder,<flowOrder goes here>

region,1
rawWells,1039324
keyPassWells,1020209

keySequence,CATG
keyPassWells,9825
keySignalPerBase,326.318000,141.319000
ppi,3,210.801000,39.262800

region,2
rawWells,1146202
keyPassWells,1113591

keySequence,CATG
keyPassWells,6862
keySignalPerBase,316.747000,128.887000
ppi,1,372.190000,93.471400
ppi,2,205.033000,46.878600
ppi,3,167.315000,41.188600

singletA,1.001420,0.219636
singletT,1.002660,0.189291
singletG,1.023040,0.206923
singletC,1.019780,0.198303
singletN,1.012890,0.203675

sequence,all
Accuracy,Length,Percent of keypass,Number of wells
100.000000,100,58.073448,3985
99.000000,100,73.797727,5064
98.000000,100,79.422909,5450
95.000000,100,84.829496,5821
80.000000,100,93.077820,6387
100.000000,150,54.546779,3743
99.000000,150,70.096182,4810
98.000000,150,78.665112,5398
95.000000,150,83.605363,5737
80.000000,150,92.640630,6357
100.000000,200,47.508015,3260
99.000000,200,71.626348,4915
98.000000,200,76.712329,5264
95.000000,200,82.730982,5677
80.000000,200,91.868260,6304
100.000000,250,39.245118,2693
99.000000,250,67.312737,4619
98.000000,250,75.327893,5169
95.000000,250,81.331973,5581
80.000000,250,90.440105,6206
100.000000,300,22.996211,1578
99.000000,300,63.494608,4357
98.000000,300,72.486156,4974
95.000000,300,79.976683,5488
80.000000,300,89.259691,6125
100.000000,350,16.409210,1126
99.000000,350,50.058292,3435
98.000000,350,61.731274,4236
95.000000,350,70.212766,4818
80.000000,350,87.889828,6031
100.000000,400,9.501603,652
99.000000,400,43.325561,2973
98.000000,400,55.013116,3775
95.000000,400,66.773535,4582
80.000000,400,86.272224,5920

sequence,AVTF120
Accuracy,Length,Percent of mapped,Number of wells
100.000000,100,70.342910,759
99.000000,100,79.054680,853
98.000000,100,83.410565,900
95.000000,100,89.620019,967
80.000000,100,100.000000,1079
100.000000,150,58.976744,634
99.000000,150,74.883721,805
98.000000,150,83.255814,895
95.000000,150,89.581395,963
80.000000,150,100.000000,1075
100.000000,200,56.969130,609
99.000000,200,78.297474,837
98.000000,200,83.536015,893
95.000000,200,90.458372,967
80.000000,200,100.000000,1069
100.000000,250,41.265345,437
99.000000,250,74.032106,784
98.000000,250,83.002833,879
95.000000,250,89.896128,952
80.000000,250,100.000000,1059
100.000000,300,12.118321,127
99.000000,300,63.645038,667
98.000000,300,78.530534,823
95.000000,300,89.312977,936
80.000000,300,100.000000,1048
100.000000,350,10.703954,111
99.000000,350,56.509161,586
98.000000,350,76.856316,797
95.000000,350,88.042430,913
80.000000,350,100.000000,1037
100.000000,400,4.007820,41
99.000000,400,48.484848,496
98.000000,400,70.381232,720
95.000000,400,85.337243,873
80.000000,400,100.000000,1023

sequence,AVTF100
Accuracy,Length,Percent of mapped,Number of wells
100.000000,100,59.831756,569
99.000000,100,74.553102,709
98.000000,100,79.810726,759
95.000000,100,87.592008,833
80.000000,100,100.000000,951
100.000000,150,57.415254,542
99.000000,150,71.610169,676
98.000000,150,80.614407,761
95.000000,150,87.076271,822
80.000000,150,100.000000,944
100.000000,200,56.017039,526
99.000000,200,74.973376,704
98.000000,200,81.256656,763
95.000000,200,87.859425,825
80.000000,200,100.000000,939
100.000000,250,38.222698,357
99.000000,250,67.987152,635
98.000000,250,78.265525,731
95.000000,250,86.723769,810
80.000000,250,100.000000,934
100.000000,300,0.000000,0
99.000000,300,60.506051,550
98.000000,300,74.807481,680
95.000000,300,85.918592,781
80.000000,300,100.000000,909
100.000000,350,0.000000,0
99.000000,350,57.770270,513
98.000000,350,75.000000,666
95.000000,350,85.472973,759
80.000000,350,100.000000,888
100.000000,400,0.000000,0
99.000000,400,59.023837,520
98.000000,400,72.077185,635
95.000000,400,84.790011,747
80.000000,400,100.000000,881

sequence,AVTF2
Accuracy,Length,Percent of mapped,Number of wells
100.000000,100,67.987065,841
99.000000,100,83.670170,1035
98.000000,100,89.005659,1101
95.000000,100,92.643492,1146
80.000000,100,100.000000,1237
100.000000,150,67.207792,828
99.000000,150,81.980519,1010
98.000000,150,89.691558,1105
95.000000,150,92.613636,1141
80.000000,150,100.000000,1232
100.000000,200,65.770171,807
99.000000,200,85.900570,1054
98.000000,200,89.568052,1099
95.000000,200,93.643032,1149
80.000000,200,100.000000,1227
100.000000,250,61.197703,746
99.000000,250,82.198523,1002
98.000000,250,88.597211,1080
95.000000,250,93.437244,1139
80.000000,250,100.000000,1219
100.000000,300,43.316832,525
99.000000,300,82.095710,995
98.000000,300,88.201320,1069
95.000000,300,93.481848,1133
80.000000,300,100.000000,1212
100.000000,350,27.173913,325
99.000000,350,70.903010,848
98.000000,350,83.193980,995
95.000000,350,92.642140,1108
80.000000,350,100.000000,1196
100.000000,400,0.929054,11
99.000000,400,39.358108,466
98.000000,400,64.949324,769
95.000000,400,88.006757,1042
80.000000,400,100.000000,1184

sequence,AVTF90
Accuracy,Length,Percent of mapped,Number of wells
100.000000,100,55.192308,574
99.000000,100,79.711538,829
98.000000,100,86.346154,898
95.000000,100,91.634615,953
80.000000,100,100.000000,1040
100.000000,150,51.252408,532
99.000000,150,74.662813,775
98.000000,150,85.067437,883
95.000000,150,90.944123,944
80.000000,150,100.000000,1038
100.000000,200,41.437008,421
99.000000,200,71.358268,725
98.000000,200,75.590551,768
95.000000,200,84.055118,854
80.000000,200,100.000000,1016
100.000000,250,34.033613,324
99.000000,250,67.857143,646
98.000000,250,77.941176,742
95.000000,250,85.294118,812
80.000000,250,100.000000,952
100.000000,300,19.480519,180
99.000000,300,66.125541,611
98.000000,300,77.380952,715
95.000000,300,86.471861,799
80.000000,300,100.000000,924
100.000000,350,0.000000,0
99.000000,350,1.124859,10
98.000000,350,12.823397,114
95.000000,350,25.084364,223
80.000000,350,100.000000,889
100.000000,400,0.000000,0
99.000000,400,0.361011,3
98.000000,400,2.647413,22
95.000000,400,13.838748,115
80.000000,400,100.000000,831

sequence,AVTF150
Accuracy,Length,Percent of mapped,Number of wells
100.000000,100,52.929293,524
99.000000,100,72.323232,716
98.000000,100,83.939394,831
95.000000,100,92.323232,914
80.000000,100,100.000000,990
100.000000,150,51.926978,512
99.000000,150,69.878296,689
98.000000,150,86.105477,849
95.000000,150,92.190669,909
80.000000,150,100.000000,986
100.000000,200,21.522843,212
99.000000,200,73.096447,720
98.000000,200,84.670051,834
95.000000,200,91.675127,903
80.000000,200,100.000000,985
100.000000,250,21.363174,210
99.000000,250,71.108850,699
98.000000,250,84.944049,835
95.000000,250,92.065107,905
80.000000,250,100.000000,983
100.000000,300,16.853933,165
99.000000,300,69.662921,682
98.000000,300,80.694586,790
95.000000,300,89.581205,877
80.000000,300,100.000000,979
100.000000,350,15.376677,149
99.000000,350,66.563467,645
98.000000,350,79.876161,774
95.000000,350,88.648091,859
80.000000,350,100.000000,969
100.000000,400,14.963119,142
99.000000,400,70.811380,672
98.000000,400,79.557429,755
95.000000,400,89.778714,852
80.000000,400,100.000000,949

sequence,AVTF7
Accuracy,Length,Percent of mapped,Number of wells
100.000000,100,65.871560,718
99.000000,100,84.587156,922
98.000000,100,88.165138,961
95.000000,100,92.477064,1008
80.000000,100,100.000000,1090
100.000000,150,64.232902,695
99.000000,150,79.020333,855
98.000000,150,83.641405,905
95.000000,150,88.539741,958
80.000000,150,100.000000,1082
100.000000,200,64.138577,685
99.000000,200,81.928839,875
98.000000,200,84.925094,907
95.000000,200,91.666667,979
80.000000,200,100.000000,1068
100.000000,250,58.451369,619
99.000000,250,80.547686,853
98.000000,250,85.174693,902
95.000000,250,90.934844,963
80.000000,250,100.000000,1059
100.000000,300,55.175689,581
99.000000,300,80.911681,852
98.000000,300,85.185185,897
95.000000,300,91.358025,962
80.000000,300,100.000000,1053
100.000000,350,51.425856,541
99.000000,350,79.182510,833
98.000000,350,84.600760,890
95.000000,350,90.874525,956
80.000000,350,100.000000,1052
100.000000,400,43.536122,458
99.000000,400,77.566540,816
98.000000,400,83.079848,874
95.000000,400,90.589354,953
80.000000,400,100.000000,1052

keySequence,TCAG
keyPassWells,1106583
keySignalPerBase,302.006000,142.509000
ppi,1,385.721000,94.923200
ppi,2,218.799000,42.663000
ppi,3,181.004000,36.363200
